User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath, at rest or during activity""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fluid retention with swelling of legs, ankles, and feet""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""My chest hurts and I recently had a bad viral infection""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like my heart is skipping beats or racing for no reason""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I’m suddenly very short of breath even when I’m just sitting""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sharp pain in my chest that gets worse when I breathe in""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel lightheaded and my heart feels weak""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Aching muscles and joints along with a mild fever""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble keeping up with my usual daily walks""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""My ankles look very puffy and my heart is pounding""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fainting spells or feeling like I might pass out""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent tiredness and a heavy feeling in my chest""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""A new or changed heart murmur""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Aching joints and muscles""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Night sweats""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain when you breathe""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a lingering fever and I'm feeling very weak""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed small, painful red lumps on the pads of my fingers""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""There are tiny purple or red spots on my skin and the whites of my eyes""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up soaked in sweat every night""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a new whistling sound in my chest that the doctor called a murmur""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints are stiff and I have splinter-like lines under my fingernails""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel sick to my stomach and my heart is racing""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in my feet and a persistent cough""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden weight loss and a general feeling of being very ill""",Endocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful cramping in one or both of your hips, thighs, or calf muscles""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful cramping in one or both of your hips, thighs, or calf muscles""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Leg numbness or weakness""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Coldness in your lower leg or foot""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Sores on your toes, feet, or legs that won't heal""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""A change in the color of your legs""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My legs cramp up so badly when I walk, but it stops when I rest""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""One of my feet feels much colder than the other""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""The hair on my legs has stopped growing and the skin looks shiny""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a sore on my ankle that has been there for weeks and won't heal""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My leg turns a bluish or pale color when I hang it over the bed""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't find a pulse in my foot""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Erectile dysfunction in men along with leg pain""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Toenails are growing very slowly and getting thick""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Heavy feeling in my legs after a short distance""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle wasting in my calves""",Peripheral Artery Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Deep, constant pain in your abdomen or on the side of your abdomen""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""Back pain""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""A pulsating feeling near the navel""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""Hoarseness or difficulty swallowing if in the chest""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""I can feel a throbbing sensation in my stomach, like a second heartbeat""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a steady, gnawing pain in my belly that won't go away""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""My lower back has been hurting constantly and it's not a muscle strain""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a sharp, tearing pain in my chest or back""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble breathing and my voice sounds raspy""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel full very quickly even when I haven't eaten much""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""A sudden, intense pain in my abdomen that is getting worse""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough and whistling sound when I breathe""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain that radiates down into my legs""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel lightheaded and my pulse is very weak""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""Tenderness in my chest or upper back area""",Aortic Aneurysm,,,,,,,,,,,,,,,,,,,,,,,,
"""A fluttering in your chest""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""A racing heartbeat or tachycardia""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""A slow heartbeat or bradycardia""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart feels like it's doing flip-flops in my chest""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like my heart just skipped a beat""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""Suddenly my heart starts racing like I've been running a marathon""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very dizzy and lightheaded out of nowhere""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a pounding or thumping sensation in my neck""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm very tired and have no energy because my pulse is so slow""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""Anxiety and sweating along with a fast pulse""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a strange vibration in my chest""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart rate is irregular and inconsistent""",Arrhythmias,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""Tiredness or fatigue""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""Fainting spells or syncope""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest discomfort, usually in the front of the chest""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling of the feet or ankles""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""I get extremely winded even with very light activity""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a lot of pressure in my chest and my neck veins are bulging""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""My lips and fingers look slightly blue""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a lot of fluid buildup in my stomach and legs""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling very faint and dizzy lately""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart is beating fast and I have a chronic cough""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't seem to get enough air into my lungs""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing and chest tightness along with swelling""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a dull ache in the right side of my abdomen""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""General weakness and worsening respiratory problems""",Cor Pulmonale,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling of the stomach, hands, or feet""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Irregular heartbeats""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I had rheumatic fever as a child and now I'm easily winded""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a constant ache in my chest and my heart is racing""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My ankles are very swollen and I feel very tired""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble breathing when I lie down""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a thumping in my chest and I'm lightheaded""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Fainting or feeling very dizzy during physical activity""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a persistent cough that produces clear mucus""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""The doctor said my heart valve is damaged""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Generalized weakness and abdominal bloating""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling like my heart is working too hard""",Rheumatic Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever or chills""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent fatigue, weakness""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent or severe infections""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Losing weight without trying""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen lymph nodes, enlarged liver or spleen""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have tiny red spots on my skin that look like a rash""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm bruising very easily and I have frequent nosebleeds""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I wake up at night and my pajamas are soaked with sweat""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull pain or fullness under my ribs on the left side""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""""I feel exhausted all the time and I'm very pale""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""My gums are bleeding and my bones feel very achy""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I keep getting infections that won't go away""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""I found some lumps in my neck and armpits""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath and a persistent low fever""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling full after eating only a small amount""",Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
"""Painless swelling of lymph nodes in your neck, armpits, or groin""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent fatigue""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Night sweats""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained weight loss""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I found a firm, painless lump in my neck that's getting bigger""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm itching all over my body but there's no rash""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever that comes and goes and I'm losing weight""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I get drenched in sweat during the night""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very full in my stomach and it's hard to breathe""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a persistent cough that doesn't feel like a cold""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Drinking alcohol makes the lump in my neck hurt""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel incredibly tired and my glands are swollen""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""General feeling of being unwell with swollen lymph nodes""",Lymphoma,,,,,,,,,,,,,,,,,,,,,,,,
"""Bone pain especially at night or with activity""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling or a lump near a bone""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained bone fracture""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Limping or limited movement in a limb""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a constant, deep ache in my leg that gets worse at night""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""There's a hard, painful swelling near my knee""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""My arm broke after a very minor fall""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""I've started limping because my shin hurts so much""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""The area around the bone feels warm and looks red""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent joint pain that I thought was just a sports injury""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a dull throb in my bone even when I'm resting""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Reduced range of motion in my arm""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Tiredness and a mild fever along with bone pain""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""A mass on my bone that feels tender to the touch""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Sharp pain that wakes me up from sleep""",Bone Cancer (Osteosarcoma),,,,,,,,,,,,,,,,,,,,,,,,
"""Changes in bowel habits or diarrhea and constipation""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Rectal bleeding or blood in stool""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent abdominal discomfort ,cramps, gas, pain""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""A feeling that the bowel doesn't empty completely""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I’ve noticed bright red blood when I go to the bathroom""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""My stools have become very narrow or pencil-thin""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I have constant stomach cramps and I'm always bloated""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I've lost a lot of weight without changing my diet""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I still need to go even after I just went""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent fatigue and looking very pale""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Dark, tarry-looking stools""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained weakness and shortness of breath""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Alternating between diarrhea and constipation for weeks""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Dull ache in the lower abdomen""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent gas pains and feeling overfull""",Colon Cancer (Colorectal Cancer),,,,,,,,,,,,,,,,,,,,,,,,
"""High fever and chills""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""Severe headache and muscle pain""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""A dark, scab-like sore""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""Mental confusion or delirium""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a high fever and a weird black crusty sore on my skin""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""My head is throbbing and I feel very disoriented""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm struggling to breathe and my chest feels tight""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""The glands in my neck and groin are very swollen""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dry cough and a body-wide rash""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes are red and I feel extremely weak""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been hearing things and acting confused""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""Generalized body aches and a persistent high temperature""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""Vomiting and stomach pain following a bug bite""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""Signs of organ failure and extreme lethargy""",Scrub Typhus ,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin sores that may start as a small bump""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Ulcers that develop a scab or crust""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen glands near the sores""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a painless bump on my arm that turned into an open sore""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""There is a volcano-like ulcer on my skin that won't heal""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""The sore has a raised border and a central crater""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have several crusty lesions on my face and ears""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""The lymph nodes near the skin sore are very swollen""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""A small red spot that is slowly getting larger""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""The ulcer looks red and irritated but doesn't itch much""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Lumps under the skin that eventually break open""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Scars forming where old sores used to be""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Multiple sores appearing after being bitten by sandflies""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Disfiguring marks on the skin that are persistent""",Cutaneous Leishmaniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Chronic cough""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath, especially during physical activities""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Wheezing and chest tightness""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Producing a lot of mucus or phlegm""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""I can't even walk to the kitchen without getting winded""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm constantly clearing my throat of thick mucus""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""My chest feels like it's being squeezed""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a whistling sound in my chest when I breathe""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""I lack energy and my ankles are starting to swell""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""My lips look a bit blue when I exert myself""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Frequent respiratory infections and a hacking cough""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""I have to sleep propped up to breathe comfortably""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss and general weakness from breathing trouble""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent tightness in the lungs""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty taking a full, deep breath""",Chronic Obstructive Pulmonary Disease (COPD),,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Dry cough""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest discomfort""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have rheumatoid arthritis and now I'm struggling to breathe""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dry, hacking cough that won't go away""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints are stiff and I get winded very easily""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm exhausted and my chest feels heavy""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""My fingernails are starting to look rounded or clubbed""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Reduced ability to exercise along with joint swelling""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent lung irritation in a patient with RA""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty with deep breaths and chronic fatigue""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Slowly worsening respiratory distress""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Generalized weakness and pulmonary scarring""",RA-Associated Interstitial Lung Disease,,,,,,,,,,,,,,,,,,,,,,,,
"""Painful periods or dysmenorrhea""",Endometriosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Pain with intercourse""",Endometriosis,,,,,,,,,,,,,,,,,,,,,,,,
